"producto","presentacion","marca","categoria","catalogo","precio","fechaRegistro","cadenaComercial","giro","nombreComercial","direccion","estado","municipio","latitud","longitud"
"CUADERNO FORMA ITALIANA","96 HOJAS PASTA DURA. CUADRICULA CHICA","ESTRELLA","MATERIAL ESCOLAR","UTILES ESCOLARES",25.9,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"CRAYONES","CAJA 12 CERAS. JUMBO. C.B. 201423","CRAYOLA","MATERIAL ESCOLAR","UTILES ESCOLARES",27.5,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"CRAYONES","CAJA 12 CERAS. TAMANO REGULAR C.B. 201034","CRAYOLA","MATERIAL ESCOLAR","UTILES ESCOLARES",13.9,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"COLORES DE MADERA","CAJA 12 PIEZAS LARGO. TRIANGULAR. C.B. 640646","PINCELIN","MATERIAL ESCOLAR","UTILES ESCOLARES",46.9,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"COLOR LARGO","CAJA 36 PIEZAS. CON SACAPUNTAS. 68-4036","CRAYOLA","MATERIAL ESCOLAR","UTILES ESCOLARES",115,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"BOLIGRAFO","BLISTER 3 PIEZAS. PUNTO FINO. GEL","BIC. CRISTAL GEL","MATERIAL ESCOLAR","UTILES ESCOLARES",32.5,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"CINTA ADHESIVA","BOLSA 1 PIEZA. 12 MM. X 33 M. C.B. 100317","SCOTCH 3M. 600","MATERIAL ESCOLAR","UTILES ESCOLARES",9,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"COLORES DE MADERA","CAJA 24 PIEZAS. LARGO. GRATIS 1 SACAPUNTAS. C.B. 44584","KORES. KOLORES","MATERIAL ESCOLAR","UTILES ESCOLARES",95.9,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"CRAYONES","CAJA 24 CERAS. TAMANO REGULAR. C.B. 608394","PAPER MATE. CARMEN","MATERIAL ESCOLAR","UTILES ESCOLARES",23.2,"2011-05-18 00:00:00.000","ABASTECEDORA LUMEN","PAPELERIAS","ABASTECEDORA LUMEN SUCURSAL VILLA COAPA","CANNES No. 6 ESQ. CANAL DE MIRAMONTES","DISTRITO FEDERAL","TLALPAN                                 ",19.29699,-99.125417
"PAN BLANCO BOLILLO","PIEZA","S/M","PAN","BASICOS",1.2,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"HARINA HOT CAKES","CAJA 800 GR.","PRONTO TRADICIONALES","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",21.63,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"PASTA PARA SOPA","PAQUETE 200 GR. SPAGHETTI","VESTA","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",3.45,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"GALLETAS DULCES","CAJA 652 GR. RICANELAS","GAMESA","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",21.77,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"GALLETAS DULCES","PAQUETE 280 GR. POLVORONES","MARINELA","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",13,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"GALLETAS DULCES","CAJA 752 GR. SANDWICH. OREO. CHOCOLATE CON RELLENO CREMOSO BLANCO","NABISCO","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",41.97,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"SHAMPOO","BOTELLA 400 ML. PROTECCION CAIDA","HEAD & SHOULDERS","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",49.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"HORNO DE MICROONDAS","MS-1446 SQP O  MS-1446 SQP / 01 . 1.4 PIES CUBICOS","LG","APARATOS ELECTRICOS","ELECTRODOMESTICOS",1598,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"ACONDICIONADOR Y ENJUAGUE","BOTELLA 300 ML. FRUCTIS. STOP CAIDA","GARNIER","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",39.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TINTE PARA EL CABELLO","CAJA","REVITALIQUE. 4","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",74,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TINTE PARA EL CABELLO","CAJA","WELLA KOLESTON. 40","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",58.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TINTE PARA EL CABELLO","CAJA","GARNIER. NUTRISSE. 40","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",57.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TINTE PARA EL CABELLO","CAJA","CLAIROL MISS CLAIROL 40","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",39.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"SHAMPOO","BOTELLA 300 ML. 2 EN 1. CONTROL CAIDA. CON ACONDICIONADOR","PANTENE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",34.2,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TOALLA DE PAPEL","PAQUETE 2 ROLLOS 60 HOJAS DOBLES","VOGUE","ARTS. DE PAPEL P/HIGIENE PERSONAL","BASICOS",19.91,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TOALLA FEMENINA","BOLSA 14 PIEZAS. CON MANZANILLA, FLUJO MODERADO. CON ALAS","NATURELLA","ARTS. DE PAPEL P/HIGIENE PERSONAL","BASICOS",21.8,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TOALLA FEMENINA","BOLSA 16 PIEZAS. NATURAL FLEX. ANATÓMICA. CON ALAS","KOTEX","ARTS. DE PAPEL P/HIGIENE PERSONAL","BASICOS",27.05,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"PAÑALES DESECHABLES","PAQUETE 38 PIEZAS. ETAPA 4. NIÑA","HUGGIES. ULTRA CONFORT","ARTS. DE PAPEL P/HIGIENE PERSONAL","BASICOS",148.6,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"PAÑALES DESECHABLES","PAQUETE 40 PIEZAS. TALLA 4","CHICOLASTIC. CLASSIC","ARTS. DE PAPEL P/HIGIENE PERSONAL","BASICOS",98.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"ACONDICIONADOR / ENJUAGUE","BOTELLA 400 ML. CONTROL CAIDA","PANTENE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",43.85,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"DILACORAN RETARD","CAJA CON 30 TABLETAS DE 120 MG.","ABBOTT LABORATORIES DE MEXICO, S.A. DE C.V.","MEDICAMENTOS","MEDICAMENTOS",272.58,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"CREMA LIQUIDA","BOTELLA 400 ML. PIEL SECA. AGUA DE ROSAS + ACEITE DE AGUACATE","PALMOLIVE. HYDRA NATURA","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",42,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"CREMA LIQUIDA","BOTELLA 420 ML. CLASICA PIEL SECA.","HINDS","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",32.91,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"DESODORANTE","ROLL ON 65 ML. NEUTRO BALANCE (BOTELLA TRANSPARENTE)","PALMOLIVE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",21.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"DESODORANTE","BARRA 56 GR. FRESH POWER 24 H. ICE DIVE","ADIDAS","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",32.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"CIRUELA PASA","1 KG. GRANEL","S/M","PRODUCTOS DE TEMPORADA (NAVIDEÐOS)","MERCADOS",49.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"NAXEN","CAJA CON 45 TABLETAS DE 500 MG","SYNTEX, S.A. DE C.V.","MEDICAMENTOS","MEDICAMENTOS",353.25,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"KLARICID H.P.","CAJA CON 10 TABLETAS DE 500 MG","ABBOTT LABORATORIES DE MEXICO, S.A. DE C.V.","MEDICAMENTOS","MEDICAMENTOS",419.44,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TEGRETOL","CAJA CON 30 COMPRIMIDOS DE  200 MG","SIN MARCA","MEDICAMENTOS","MEDICAMENTOS",200.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"ZOVIRAX","CAJA CON FRASCO SUSPENSION CON 60 ML 200 MG/5 ML SABOR PLATANO","GLAXO WELLCOME MEXICO, S.A. DE C.V.","MEDICAMENTOS","MEDICAMENTOS",171.47,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"BISOLVON ADULTO","CAJA CON FRASCO CON 100 ML SOLUCION","SIN MARCA","MEDICAMENTOS","MEDICAMENTOS",104.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"INDERALICI","CAJA CON 42 TABLETAS DE 10 MG.","ASTRAZENECA, S.A. DE C.V.","MEDICAMENTOS","MEDICAMENTOS",56.28,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"TELEVISORES","KDL-40EX401. COLOR 40 PLGS. PANTALLA CRISTAL LIQUIDO","SONY. BRAVIA","APARATOS ELECTRONICOS","ELECTRODOMESTICOS",10998,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"PILAS ELECTRICAS","PAQUETE CON 4. AA. ULTRA. POWER","DURACELL","ACCESORIOS DOMESTICOS","BASICOS",69.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"DETERGENTE P/TRASTES","BOTELLA 900 ML. LIQUIDO. LIMON","AXION","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",17.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"DETERGENTE P/ROPA","BOTELLA 1 LT. LIQUIDO","MAS. BLANCO","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",34,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"DETERGENTE P/ROPA","BOTELLA 1 LT. LIQUIDO. DELICADA","VEL ROSITA","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",36.15,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"DETERGENTE P/ROPA","BOTELLA 1 LT. LIQUIDO","MAS. DELICADA","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",34.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
"BROCOLI","1 KG.","S/M","HORTALIZAS FRESCAS","FRUTAS Y LEGUMBRES",26.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA","AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS","MÉXICO","ATIZAPAN                                ",NA,NA
